date,AABA,AAPL,ADBE,ADP,AMGN,AMOV,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,CELG,CHTR,CMCSA,CME,COST,CSCO,CSX,CTSH,ESRX,FB,FOX,FOXA,GILD,GOOG,GOOGL,ILMN,INTC,INTU,ISRG,KHC,MAR,MDLZ,MSFT,MU,NFLX,NVDA,PEP,PYPL,QCOM,QQQ,REGN,SBUX,TMUS,TSLA,TXN,VRTX,WBA,WDAY
2017-05-28,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,2,10,8,0,4,4,0,15,0,0,0,4,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-29,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,23,0,0,0,11,3,3,0,4,4,0,15,0,0,0,31,0,0,19,3,0,3,0,0,0,0,0,0,0,0,0,0,0
2017-05-30,0,14,0,0,0,0,15,1,0,0,0,0,0,1,1,2,2,18,0,0,0,16,12,12,3,13,13,1,22,3,3,0,35,0,10,27,0,0,0,0,2,3,1,3,0,0,0,0,0,0
2017-05-31,0,11,0,0,2,0,7,1,4,3,1,0,0,1,4,3,4,37,0,0,0,38,13,13,0,20,20,0,32,0,0,2,60,0,8,22,5,0,0,0,3,0,0,0,3,7,0,0,0,0
2017-06-01,0,3,0,25,0,0,13,0,2,4,5,0,1,3,1,5,1,40,0,0,1,20,11,11,0,6,6,0,46,0,0,0,43,0,5,27,3,0,3,0,1,0,0,0,4,17,0,0,0,0
2017-06-02,0,15,0,8,1,0,14,3,5,0,1,0,0,0,0,13,2,15,0,0,0,28,15,15,0,13,13,1,41,0,0,0,44,0,6,26,4,2,3,0,5,0,2,0,0,12,0,0,4,0
2017-06-03,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,12,0,0,0,0,0,2,4,0,0,0,3,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2017-06-04,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,11,9,8,0,0,0,0,15,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-06-05,0,23,0,0,3,0,15,0,0,0,3,0,3,0,0,2,0,13,4,0,0,26,15,15,0,13,13,1,35,0,0,0,27,0,0,22,0,1,2,4,0,3,2,0,4,7,0,0,1,0
2017-06-06,0,23,0,0,2,0,26,0,4,0,0,0,0,0,1,4,1,35,0,3,0,57,3,3,0,17,17,0,46,0,0,0,37,0,8,29,3,2,1,0,1,0,2,4,0,10,0,0,0,0
2017-06-07,0,15,0,0,6,0,17,0,1,2,0,0,2,0,0,4,1,39,0,0,0,85,5,5,0,10,10,0,52,0,0,0,47,1,2,22,0,0,0,0,5,2,1,0,0,5,0,0,0,2
2017-06-08,3,8,0,0,0,0,10,0,3,2,2,0,0,0,1,5,1,28,0,0,0,102,4,4,0,8,8,0,48,1,0,1,47,0,6,13,0,8,0,0,1,1,0,0,0,6,0,0,1,0
2017-06-09,0,25,0,6,0,0,12,0,4,0,0,0,0,0,0,4,0,19,0,0,0,64,3,3,0,28,28,0,50,2,0,0,43,3,5,34,3,12,3,2,10,0,0,0,0,6,0,0,5,0
2017-06-10,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,14,0,0,0,4,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,11,10,10,0,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2017-06-12,0,53,0,0,17,0,10,0,2,0,2,0,2,2,2,4,1,29,0,0,0,33,8,8,1,29,29,0,31,1,0,0,42,0,21,22,11,0,0,6,4,2,0,0,0,2,0,1,0,0
2017-06-13,4,28,4,0,1,0,17,0,1,5,4,0,0,0,7,5,1,19,0,1,0,35,4,4,0,36,36,0,36,1,0,1,41,0,23,27,5,0,2,2,4,0,0,0,2,7,0,0,0,0
2017-06-14,0,13,0,0,0,0,11,0,2,5,5,0,1,0,4,7,3,31,0,0,0,31,5,5,0,24,24,2,33,0,0,0,36,0,7,15,8,2,0,0,1,2,3,0,1,1,0,2,0,0
2017-06-15,2,28,0,1,0,0,30,0,3,1,1,0,0,0,0,1,3,28,0,0,0,51,4,4,0,32,32,0,38,0,0,5,36,3,20,16,5,2,1,0,2,3,0,2,0,11,0,0,0,0
2017-06-16,0,19,0,0,3,0,64,0,0,1,0,0,0,0,4,1,15,20,0,0,0,37,1,1,0,5,5,0,29,0,0,2,50,2,9,15,2,0,3,0,1,0,0,2,0,2,0,0,2,0
2017-06-17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,6,2,2,0,0,0,0,3,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-18,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,6,3,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-06-19,5,19,3,0,1,0,42,0,0,1,4,0,0,0,5,3,8,15,0,0,0,33,6,6,1,25,25,0,28,1,0,1,42,0,10,9,0,0,1,1,3,2,0,0,0,12,0,0,0,0
2017-06-20,0,23,5,0,2,0,23,0,4,2,1,0,0,0,0,4,0,28,0,0,0,22,17,17,0,12,12,0,34,3,0,0,47,2,10,15,5,0,3,0,4,1,4,6,5,2,0,0,0,0
2017-06-21,0,16,5,0,2,0,17,0,3,0,2,0,4,2,1,2,4,26,0,0,0,25,7,7,1,15,15,0,29,1,0,0,39,0,5,18,5,0,0,0,3,0,4,1,3,8,0,0,2,0
